batsman,total_runs,out,numberofballs,average,strikerate
V Kohli,5426,152,4111,35.69736842,131.987351
SK Raina,5386,160,3916,33.6625,137.5383044
RG Sharma,4902,161,3742,30.44720497,130.9994655
DA Warner,4717,114,3292,41.37719298,143.2867558
S Dhawan,4601,137,3665,33.58394161,125.5388813
CH Gayle,4525,110,2972,41.13636364,152.2543742
MS Dhoni,4450,118,3206,37.71186441,138.8022458
RV Uthappa,4420,156,3381,28.33333333,130.7305531
AB de Villiers,4414,104,2902,42.44230769,152.1019986
G Gambhir,4219,134,3400,31.48507463,124.0882353
AM Rahane,3834,117,3133,32.76923077,122.3747207
KD Karthik,3669,138,2813,26.58695652,130.4301458
SR Watson,3590,115,2566,31.2173913,139.9064692
AT Rayudu,3313,114,2616,29.06140351,126.6437309
YK Pathan,3222,110,2240,29.29090909,143.8392857
BB McCullum,2886,106,2185,27.22641509,132.0823799
PA Patel,2864,127,2352,22.5511811,121.7687075
MK Pandey,2855,95,2352,30.05263158,121.3860544
KA Pollard,2772,102,1879,27.17647059,147.5252794
Yuvraj Singh,2755,109,2121,25.27522936,129.8915606
V Sehwag,2728,98,1746,27.83673469,156.2428408
M Vijay,2589,93,2104,27.83870968,123.0513308
SE Marsh,2489,65,1866,38.29230769,133.3869239
JH Kallis,2427,89,2219,27.26966292,109.3735917
DR Smith,2385,81,1758,29.44444444,135.665529
SR Tendulkar,2334,71,1943,32.87323944,120.1235203
SV Samson,2215,79,1693,28.03797468,130.8328411
R Dravid,2174,77,1877,28.23376623,115.823122
AC Gilchrist,2069,76,1492,27.22368421,138.6729223
